,path,transcription,action,object,location,Content_Parsed_1,Content_Parsed_2,Content_Parsed_3,Content_Parsed_4
0,wavs/speakers/xRQE5VD7rRHVdyvM/7372ca00-45c4-11e9-8ec0-7bf21d1cfe30.wav,Turn on the kitchen lights,activate,lights,kitchen,turn on the kitchen lights,turn on the kitchen lights,turn on the kitchen lights,turn on the kitchen light
1,wavs/speakers/R3mexpM2YAtdPbL7/dae28110-44fe-11e9-a1ea-79ca03012c0e.wav,Turn up the temperature,increase,heat,none,turn up the temperature,turn up the temperature,turn up the temperature,turn up the temperature
2,wavs/speakers/ZebMRl5Z7dhrPKRD/b55dcfd0-455d-11e9-aa52-bf2189a03a60.wav,OK now switch the main language to Chinese,change language,Chinese,none,ok now switch the main language to chinese,ok now switch the main language to chinese,ok now switch the main language to chinese,ok now switch the main language to chinese
3,wavs/speakers/ppzZqYxGkESMdA5Az/61c54a20-4476-11e9-a9a5-5dbec3b8816a.wav,Turn down the bathroom temperature,decrease,heat,washroom,turn down the bathroom temperature,turn down the bathroom temperature,turn down the bathroom temperature,turn down the bathroom temperature
4,wavs/speakers/zaEBPeMY4NUbDnZy/8ef57ec0-44df-11e9-a8b6-e96f2628bf65.wav,Change the language,change language,none,none,change the language,change the language,change the language,change the language
5,wavs/speakers/W4XOzzNEbrtZz4dW/8a1fedc0-44d2-11e9-a8b6-e96f2628bf65.wav,Turn sound down,decrease,volume,none,turn sound down,turn sound down,turn sound down,turn sound down
6,wavs/speakers/8e5qRjN7dGuovkRY/92366b20-459e-11e9-bf4b-216bfa333ac2.wav,Decrease the heating in the washroom,decrease,heat,washroom,decrease the heating in the washroom,decrease the heating in the washroom,decrease the heating in the washroom,decrease the heat in the washroom
7,wavs/speakers/W4XOzzNEbrtZz4dW/d40180c0-44d2-11e9-a8b6-e96f2628bf65.wav,"It’s too loud, turn it down",decrease,volume,none,"it’s too loud, turn it down",it’s too loud turn it down,it’s too loud turn it down,it’s too loud turn it down
8,wavs/speakers/g2dnA9Wpvzi2WAmZ/694d7090-454a-11e9-aa52-bf2189a03a60.wav,Change language,change language,none,none,change language,change language,change language,change language
9,wavs/speakers/5BEzPgPKe8taG9OB/b9b56e80-457b-11e9-9600-8f19ade2128c.wav,Turn the lights on in the kitchen,activate,lights,kitchen,turn the lights on in the kitchen,turn the lights on in the kitchen,turn the lights on in the kitchen,turn the light on in the kitchen
10,wavs/speakers/xRQE5VD7rRHVdyvM/6fe6f940-45c6-11e9-8ec0-7bf21d1cfe30.wav,Decrease the heating in the bedroom,decrease,heat,bedroom,decrease the heating in the bedroom,decrease the heating in the bedroom,decrease the heating in the bedroom,decrease the heat in the bedroom
